52 Weeks Low Results,as on,29.06.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Stock,Lists,Current Price,Target,% Down from BUY,Signal,Market Cap (Cr)
HDFCBANK,Super 45,798.9,944.65,9.94,NEAR BUY,1230403.48
ICICIGI,Super 45,1768.1,2097.81,9.57,NEAR BUY,88276.31
HDFCLIFE,Super 45,583.25,705.9,7.41,NEAR BUY,126678.13
ICICIPRULI,Super 45,489.5,597.35,6.53,NEAR BUY,70965.38
PGHH,Super 45,8813,11375.65,0.71,BUY,28607.65
HINDUNILVR,Super 45,2151.3,2629.25,6.37,NEAR BUY,505467.58
DABUR,Super 45,426.3,524.36,5.69,NEAR BUY,75612.41
ITC,Super 45,290.7,357.56,5.69,NEAR BUY,364231.66
WHIRLPOOL,Super 45,800.3,983.9,5.74,NEAR BUY,10157.44
HAVELLS,Super 45,1156.1,1460.68,2.89,BUY,72517.16
TCS,Super 45,2097.9,2671.5,2.09,BUY,759038.53
HCLTECH,Super 45,1102.4,1411.8,1.51,BUY,298283.72
WIPRO,Super 45,175.48,222.94,2.33,BUY,184107.36
ABBOTINDIA,Super 45,25295,32695,0.58,BUY,53750.11
GILLETTE,Super 45,7561,9367.8,4.93,BUY,24637.68
AMBUJACEM,Super 45,424.25,512.2,7.68,NEAR BUY,105418.37
INFY,Super 45,1036.7,1333.8,1.04,BUY,419752.34
KAYNES,Super 45,3150.6,3893.5,5.2,NEAR BUY,21119.94
BLUEDART,Super 45,4874.1,6017.05,5.31,NEAR BUY,11565.23
