67 Ka Funda Results,as on,11.05.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Stock,Lists,ATH_3Y,CurrentPrice,Target,% Down from Buy,Signal,Market Cap (Cr)
SANOFI,Super 45,10524.95,3267.1,6946.47,-5.93,BUY,7524.33
RAJESHEXPO,Good 45,669.3,116.25,441.74,-47.37,BUY,3432.4
RELAXO,Good 45,974,310.35,642.84,-3.44,BUY,7725.81
JAIBALAJI,Good 200,262.8,86.18,173.45,-0.63,BUY,7861.78
SKFINDIA,Good 200,7350,1711.5,4851,-29.44,BUY,8461.31
NEWGEN,Good 200,1798.9,490.25,1187.27,-17.42,BUY,6920.34
THOMASCOOK,Good 200,264,92.95,174.24,6.69,NEAR BUY,4330.11
ZEEL,NSE 500,299.7,90.37,197.8,-8.63,BUY,8680.21
OLAELEC,NSE 500,157.4,36.97,103.88,-28.82,BUY,15519.98
TEJASNET,NSE 500,1495,471.7,986.7,-4.39,BUY,8369
FIRSTCRY,NSE 500,734,229.51,484.44,-5.25,BUY,11135.14
ABFRL,NSE 500,364.4,64.99,240.5,-45.96,BUY,7905.3
SONATSOFTW,NSE 500,870,298.95,574.2,4.13,NEAR BUY,8274.77
CGCL,NSE 500,876,191.1,578.16,-33.89,BUY,18386.76
