BUY Recommendation,as on,23.06.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Stock,Current Price,Target,% Down from BUY,Strategy,List Name,Market Cap (Cr)
PGHH,9099,12068.88,-1.99,SMA,Super 45,29536.02
COLPAL,1980.5,2639.99,-2.48,SMA,Super 45,53866.75
DABUR,419.8,556.45,-1.93,SMA,Super 45,74459.51
TCS,2059.6,2866.9,-6.61,SMA,Super 45,745181.33
HCLTECH,1109.5,1500.39,-3.87,SMA,Super 45,300204.82
WIPRO,174.49,246.81,-8.09,SMA,Super 45,183068.69
ABBOTINDIA,25570,34228.68,-2.89,SMA,Super 45,54334.47
PFIZER,4497,5882.88,-0.63,SMA,Super 45,20572.75
AMBUJACEM,414.85,556.46,-3.08,SMA,Super 45,103082.64
INFY,1029.3,1496.91,-10.61,SMA,Super 45,416756.19
SYNGENE,436,580.44,-2.35,SMA,Super 45,17520.71
HDFCLIFE,597.45,792.23,-0.03,ENVELOP,Super 45,129762.28
ICICIPRULI,498.6,675.14,-2.1,ENVELOP,Super 45,72284.65
PGHH,9099,13354.71,-9.68,ENVELOP,Super 45,29536.02
ITC,290,397.93,-3.4,ENVELOP,Super 45,363354.57
WHIRLPOOL,805.45,1130.99,-5.6,ENVELOP,Super 45,10222.8
HAVELLS,1174.8,1560.82,-0.23,ENVELOP,Super 45,73690.13
TCS,2059.6,3196.7,-14.59,ENVELOP,Super 45,745181.33
HCLTECH,1109.5,1647.83,-10.75,ENVELOP,Super 45,300204.82
WIPRO,174.49,258.02,-10.35,ENVELOP,Super 45,183068.69
SANOFI,3410.2,4589.22,-1.5,ENVELOP,Super 45,7853.9
AMBUJACEM,414.85,578.48,-4.94,ENVELOP,Super 45,103082.64
INFY,1029.3,1606.18,-15.05,ENVELOP,Super 45,416756.19
KAYNES,3216.9,5326.48,-19.94,ENVELOP,Super 45,21564.38
SYNGENE,436,614.67,-5.97,ENVELOP,Super 45,17520.71
PGHH,9099,11548.55,2.43,52 Weeks Low,Super 45,29536.02
DABUR,419.8,524.36,4.08,52 Weeks Low,Super 45,74459.51
HAVELLS,1174.8,1460.68,4.56,52 Weeks Low,Super 45,73690.13
TCS,2059.6,2671.5,0.22,52 Weeks Low,Super 45,745181.33
HCLTECH,1109.5,1416.35,1.84,52 Weeks Low,Super 45,300204.82
WIPRO,174.49,226.2,0.28,52 Weeks Low,Super 45,183068.69
ABBOTINDIA,25570,32695,1.67,52 Weeks Low,Super 45,54334.47
INFY,1029.3,1333.8,0.32,52 Weeks Low,Super 45,416756.19
ACE,1007.85,1372.02,-9.46,Super strategy,Good200,11995.44
AGI,714.5,1217.02,-24.73,Super strategy,Good200,4622.63
AGI,714.5,916.05,-6.29,Super strategy,Good200,4622.63
AJAXENGG,549.8,734.35,-9.42,Super strategy,Good200,6290.09
AVANTIFEED,986.5,1489,-4.96,Super strategy,Good45,13440.63
BAJAJHLDNG,10615,14300.2,-9.48,Super strategy,Super45,118138.06
BAJAJHLDNG,10615,13146.25,-2.08,Super strategy,Super45,118138.06
BIKAJI,659.75,893.08,-7.74,Super strategy,Good200,16542.33
BLS,262.3,506.96,-37.52,Super strategy,Good200,10794.23
BLS,262.3,339.36,-5.21,Super strategy,Good200,10794.23
BLS,262.3,420.67,-24.46,Super strategy,Good200,10794.23
BLUEDART,4984.7,7036,-14.06,Super strategy,Super45,11827.66
BLUEJET,514.7,840.42,-23.94,Super strategy,Good200,8928.27
BLUESTARCO,1661.9,2376.29,-15.58,Super strategy,Super45,34167.44
BOSCH-HCIL,1359.7,2449.47,-30.55,Super strategy,Good45,20774.37
CAMS,811.65,1049.83,-7.18,Super strategy,Good200,20145.54
CASTROLIND,185.83,235.1,-4.25,Super strategy,Good200,18380.86
CLEAN,802.75,1590.61,-36.27,Super strategy,Good200,8531.83
CYIENT,886.2,1988.22,-45.42,Super strategy,Good200,9791.66
DIXON,11932,16820.51,-6.41,Super strategy,Super45,72548.82
DOMS,2300.5,3060.88,-8.47,Super strategy,Good200,13961.35
DYCL,361.45,547.2,-18.82,Super strategy,Good45,1751.54
DYCL,361.45,480,-7.11,Super strategy,Good45,1751.54
EPIGRAL,1114.4,1868.08,-26.68,Super strategy,Good200,4807.67
EPIGRAL,1114.4,2162.05,-37.1,Super strategy,Good200,4807.67
EPIGRAL,1114.4,2348.96,-42.83,Super strategy,Good200,4807.67
EPIGRAL,1114.4,1571.93,-14.5,Super strategy,Good200,4807.67
FLUOROCHEM,3890.9,4721.27,-0.84,Super strategy,Good45,42741.53
FORCEMOT,18020,25050,-0.61,Super strategy,Good200,23743.62
GANESHHOU,756.5,1005.15,-2.26,Super strategy,Good200,6308.23
GANESHHOU,756.5,1420.64,-33.9,Super strategy,Good200,6308.23
GRAVITA,1709.7,2535.52,-4.13,Super strategy,Good200,12452.93
GRAVITA,1709.7,2691,-23.76,Super strategy,Good200,12452.93
HAVELLS,1174.8,1654.06,-14.44,Super strategy,Super45,73690.13
JINDRILL,576.05,693.5,-0.08,Super strategy,Good200,1669.46
JSWDULUX,3205.8,4332.09,-6.83,Super strategy,Super45,14599.31
JSWDULUX,3205.8,4355.38,-8.01,Super strategy,Super45,14599.31
JUSTDIAL,546.1,1395,-51.56,Super strategy,Good200,4644.53
JUSTDIAL,546.1,912,-27.77,Super strategy,Good200,4644.53
KAYNES,3216.9,5844,-17.52,Super strategy,Super45,21564.38
KAYNES,3216.9,5330,-23.42,Super strategy,Super45,21564.38
KAYNES,3216.9,4729,-15.7,Super strategy,Super45,21564.38
KAYNES,3216.9,6488,-40.48,Super strategy,Super45,21564.38
KFINTECH,888.8,1286.39,-11.44,Super strategy,Good200,15360.92
KFINTECH,888.8,1468.57,-27.17,Super strategy,Good200,15360.92
KFINTECH,888.8,1162.62,-4.87,Super strategy,Good200,15360.92
KFINTECH,888.8,1181.09,-8.33,Super strategy,Good200,15360.92
KPITTECH,741.15,1465.83,-38.87,Super strategy,Good200,20176.12
MGL,1220,1682.91,-12.75,Super strategy,Good200,12050.89
NEWGEN,470.9,919.25,-37.59,Super strategy,Good200,6647.2
NEWGEN,470.9,1370.44,-58.34,Super strategy,Good200,6647.2
NEWGEN,470.9,1177.63,-50.29,Super strategy,Good200,6647.2
POLYMED,1650,2482.14,-14.56,Super strategy,Good200,16744.12
POLYMED,1650,3351.91,-35.55,Super strategy,Good200,16744.12
RAJESHEXPO,107.49,189,-31.55,Super strategy,Good45,3173.75
RAJESHEXPO,107.49,237.88,-42.74,Super strategy,Good45,3173.75
RAJESHEXPO,107.49,218.9,-30.7,Super strategy,Good45,3173.75
RATNAMANI,2740.4,3345,-0.71,Super strategy,Good200,19208.01
SHARDACROP,887.8,1223.7,-11.99,Super strategy,Good200,8009.78
SHARDAMOTR,825.75,1248,-19.55,Super strategy,Good200,4740.44
SHARDAMOTR,825.75,2896.97,-65.01,Super strategy,Good200,4740.44
SHARDAMOTR,825.75,2569.9,-53.4,Super strategy,Good200,4740.44
SHARDAMOTR,825.75,1016.7,-0.27,Super strategy,Good200,4740.44
SIYSIL,621.6,1130.31,-24.33,Super strategy,Good200,2820.2
SIYSIL,621.6,1000.16,-22.49,Super strategy,Good200,2820.2
SYMPHONY,692.55,1454.71,-40.94,Super strategy,Good45,4755.84
TASTYBITE,8338.5,10737.11,-5.74,Super strategy,Good45,2139.66
TASTYBITE,8338.5,15177.93,-15.32,Super strategy,Good45,2139.66
TATAELXSI,4076.1,5770.08,-12.67,Super strategy,Good200,25392.91
TATAELXSI,4076.1,8820.26,-39.36,Super strategy,Good200,25392.91
TEAMLEASE,1446.1,3478,-49.34,Super strategy,Good45,2424.25
TIMETECHNO,178.37,230.64,-6.15,Super strategy,Good200,8804.97
TRENT,3142.9,6805.71,-40.29,Super strategy,Good45,167589.58
UJJIVANSFB,56.07,68,-0.97,Super strategy,Good45,10907.05
VIPIND,311.95,426.1,-8.52,Super strategy,Good45,4431.31
VIPIND,311.95,435,-13.77,Super strategy,Good45,4431.31
VOLTAMP,10572,14414.35,-9.37,Super strategy,Good200,10695.82
WAAREERTL,983.25,1326.6,-6.71,Super strategy,Good200,10259.8
