CUP Pattern Results,as on,15.09.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Stock,List,Cup Start Date,Cup End Date,Cup Price,Cup Depth (%),Current Price,Target,% Down from Buy,Signal,Market Cap (Cr)
AMBER,Super 45,28-Oct-2025,07-May-2026,8526.5,35.38,7000,8526.5,2.62,NEAR BUY,24687.44
DEEPAKNTR,Good 45,13-Aug-2025,08-May-2026,1864.78,31.31,1561.3,1864.78,4.66,NEAR BUY,21295.05
DIXON,Super 45,17-Dec-2024,18-Sep-2025,18331,31.53,13180,18331,-10.12,BUY,80136.9
DYCL,Good 45,17-Dec-2024,03-Sep-2026,529.1,54.53,432.6,529.1,2.2,NEAR BUY,2096.32
HONAUT,Good 45,24-Jan-2025,29-Jul-2026,40105,34.54,33595,40105,4.71,NEAR BUY,29722.7
KAYNES,Super 45,01-Jan-2025,07-Oct-2025,7593,47.96,3392,7593,-44.16,BUY,22801.87
LTM,Good 45,10-Jan-2025,05-Dec-2025,5965.81,33.75,4346.6,5965.81,-8.93,BUY,128859.83
PAGEIND,Super 45,17-Sep-2025,01-Jul-2026,43370.55,31.02,34580,43370.55,-0.34,BUY,38570.1
RELAXO,Good 45,29-Sep-2025,17-Jul-2026,439.95,45.93,317.15,439.95,-9.89,BUY,7895.09
THERMAX,Good 45,11-Nov-2024,30-Jun-2026,5138.51,46.24,3559.4,5138.51,-13.41,BUY,40096.17
TIINDIA,Good 45,16-Sep-2025,22-Jun-2026,3306.1,33.87,2525,3306.1,-4.53,BUY,48877.01
TTKPRESTIG,Good 45,28-Oct-2025,28-Jul-2026,694.75,38.95,540,694.75,-2.84,BUY,7396.18
