ENVELOP Results,as on,28.07.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Stock,Lists,Current Price,Target,% Down from Buy,Signal,Market Cap (Cr)
HDFCBANK,Super 45,735.4,998.25,-2.35,BUY,1132885.39
HDFCLIFE,Super 45,558.75,763.62,-3.01,BUY,121356.88
ICICIPRULI,Super 45,510.1,660.76,2.33,NEAR BUY,73951.87
PGHH,Super 45,8973,12680.57,-6.2,BUY,29127.02
HINDUNILVR,Super 45,2022.7,2608.19,2.8,NEAR BUY,475251.82
ITC,Super 45,284.65,380.4,-0.81,BUY,356651.32
WHIRLPOOL,Super 45,780.4,1059.55,-2.37,BUY,9904.86
WIPRO,Super 45,181.12,247.77,-3.1,BUY,179168.12
SANOFI,Super 45,3363.2,4366.88,2.09,NEAR BUY,7745.66
AMBUJACEM,Super 45,426,558.18,1.17,NEAR BUY,105853.21
INFY,Super 45,1105.7,1545.44,-5.16,BUY,447822.12
KAYNES,Super 45,3227.7,4770.77,-10.32,BUY,21636.78
SYNGENE,Super 45,409.15,583.03,-6.97,BUY,16468.42
