S&R Results,as on,07.07.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Stock,Lists,Support,Resistance,GapPct,SupportTouches,ResistanceTouches,SupportFirstTouchDate,SupportLastTouchDate,ResistanceFirstTouchDate,ResistanceLastTouchDate,CurrentPrice,Target,% Down from BUY,Signal,Market Cap (Cr)
BAYERCROP,Good 45,4373.62,6483.42,48.24,3,2,26-Jul-2023,09-Dec-2025,21-Jun-2024,02-Jul-2025,4122.3,6483.42,-5.75,BUY,18526.48
BLS,Good 200,261.09,425.37,62.92,3,2,21-Aug-2023,28-Jan-2026,31-Jan-2024,26-Aug-2024,248.85,425.37,-4.69,BUY,10240.73
BLUEJET,Good 200,679.25,962.08,41.64,3,2,31-Jan-2025,28-Aug-2025,19-Mar-2025,11-Jun-2025,579.15,962.08,-14.74,BUY,10046.25
CYIENTDLM,Good 45,587,870.67,48.33,3,2,31-Aug-2023,13-Jan-2025,26-Feb-2024,29-Jul-2024,536.8,870.67,-8.55,BUY,4260.28
EPIGRAL,Good 200,990.31,1409.63,42.34,3,2,11-Jul-2023,06-Jul-2026,04-Apr-2024,04-May-2026,1022.7,1409.63,3.27,NEAR BUY,4412.06
ESCORTS,Good 200,2840.73,4183.95,47.28,3,2,18-Aug-2023,19-Mar-2026,11-Jun-2024,04-Sep-2025,2978.9,4183.95,4.86,NEAR BUY,32776.06
JINDRILL,Good 200,518.68,895.92,72.73,3,2,29-Aug-2023,08-Dec-2025,04-Dec-2023,30-Jan-2025,540.2,895.92,4.15,NEAR BUY,1565.56
KAYNES,Super 45,3866.8,7697.82,99.07,3,2,18-Jun-2024,08-Dec-2025,19-Dec-2024,25-Sep-2025,3312.6,7697.82,-14.33,BUY,22205.9
LTM,Good 45,4543.93,6421.44,41.32,3,2,10-May-2024,24-Feb-2026,10-Sep-2024,05-Dec-2025,3858.5,6421.44,-15.08,BUY,114389.56
MGL,Good 200,1092.19,1589.78,45.56,3,2,10-Jul-2023,09-Dec-2025,05-Mar-2024,04-Jul-2025,1133.7,1589.78,3.8,NEAR BUY,11198.44
NEWGEN,Good 200,763.14,1366.2,79.02,3,2,27-Dec-2023,13-Jan-2026,26-Sep-2024,20-May-2025,480,1366.2,-37.1,BUY,6775.66
POLYMED,Good 200,1943.84,2965.86,52.58,3,2,14-Jun-2024,28-Jul-2025,31-Oct-2024,07-May-2025,1669.7,2965.86,-14.1,BUY,16944.03
RATNAMANI,Good 200,2639.7,3882.82,47.09,3,2,17-Jul-2023,11-Feb-2025,01-Dec-2023,06-Sep-2024,2603,3882.82,-1.39,BUY,18244.95
SUPREMEIND,Good 45,3171.77,4670.16,47.24,3,2,10-Jul-2023,11-Dec-2025,31-Aug-2023,17-Jun-2025,3181.4,4670.16,0.3,NEAR BUY,40429.8
