SMA Results,as on,25.08.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Stock,Lists,Current Price,Target,% Down from Buy,Signal,Market Cap (Cr)
HDFCBANK,Super 45,727.5,953.36,-0.8,BUY,1121150.25
AXISBANK,Super 45,1235,1611.67,-0.38,BUY,384443.82
ICICIGI,Super 45,1616,2132.27,-1.48,BUY,80735.14
HDFCLIFE,Super 45,546.7,706.42,0.61,NEAR BUY,118739.7
PGHH,Super 45,8089,10939.14,-3.87,BUY,26257.49
COLPAL,Super 45,1876.8,2605.34,-6.35,BUY,51046.27
HINDUNILVR,Super 45,2024.2,2691.93,-2.25,BUY,475604.24
DABUR,Super 45,395.05,533.61,-3.76,BUY,70080.17
ITC,Super 45,271.4,362.31,-2.62,BUY,340058.28
SANOFI,Super 45,3198.2,4298.67,-3.28,BUY,7365.65
GILLETTE,Super 45,7439,9918.42,-2.5,BUY,24240.14
AMBUJACEM,Super 45,413.1,552.01,-2.71,BUY,102647.8
DRREDDY,Super 45,1193.5,1527.58,1.57,NEAR BUY,99418.56
SYNGENE,Super 45,406.4,524.27,0.77,NEAR BUY,16357.73
SRF,Super 45,2575,3389.39,-1.24,BUY,76324.55
VOLTAS,Super 45,1243,1665.22,-2.96,BUY,41128.97
BLUESTARCO,Super 45,1515,2032.6,-3.1,BUY,31147.28
