Super Strategy Results,as on,19.06.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Stock,ListGroup,RunStartDate,RunEndDate,NumCandles,EntryPrice,ExitPrice,GainPct,CurrentPrice,Target,% Down from Buy,Signal,Market Cap (Cr)
ACE,Good200,29-Oct-2024,31-Oct-2024,3,1113.13,1372.02,23.26,975.65,1372.02,-12.35,BUY,11612.19
AFFLE,Good200,19-Mar-2025,27-Mar-2025,7,1437,1738.8,21,1463.7,1738.8,1.86,NEAR BUY,20585.57
AGI,Good200,02-Dec-2024,06-Dec-2024,5,949.22,1217.02,28.21,731.15,1217.02,-22.97,BUY,4730.35
AGI,Good200,04-Jul-2024,05-Jul-2024,2,762.48,916.05,20.14,731.15,916.05,-4.11,BUY,4730.35
AJAXENGG,Good200,11-Apr-2025,22-Apr-2025,6,607,734.35,20.98,549.95,734.35,-9.4,BUY,6291.8
AVANTIFEED,Good45,04-Feb-2026,05-Feb-2026,2,943.2,1139.9,20.85,967.7,1139.9,2.6,NEAR BUY,13184.49
AVANTIFEED,Good45,09-Feb-2026,13-Feb-2026,5,1038,1489,43.45,967.7,1489,-6.77,BUY,13184.49
BAJAJHLDNG,Super45,14-May-2025,19-May-2025,4,11726.16,14300.2,21.95,10677,14300.2,-8.95,BUY,118828.08
BAJAJHLDNG,Super45,26-Dec-2024,30-Dec-2024,3,10840.44,13146.25,21.27,10677,13146.25,-1.51,BUY,118828.08
BIKAJI,Good200,06-Aug-2024,12-Aug-2024,5,715.1,893.08,24.89,660.2,893.08,-7.68,BUY,16553.62
BIKAJI,Good200,29-Jan-2025,03-Feb-2025,5,636.5,765.04,20.19,660.2,765.04,3.72,NEAR BUY,16553.62
BLS,Good200,15-Jan-2025,17-Jan-2025,3,419.83,506.96,20.75,267.45,506.96,-36.3,BUY,11006.16
BLS,Good200,16-Oct-2025,17-Oct-2025,2,276.71,339.36,22.64,267.45,339.36,-3.35,BUY,11006.16
BLS,Good200,20-Mar-2025,24-Mar-2025,3,347.25,420.67,21.14,267.45,420.67,-22.98,BUY,11006.16
BLUEDART,Super45,29-Oct-2025,30-Oct-2025,2,5800,7036,21.31,4968.8,7036,-14.33,BUY,11789.94
BLUEJET,Good200,12-Dec-2024,19-Dec-2024,6,492.83,601.94,22.14,512.6,601.94,4.01,NEAR BUY,8891.84
BLUEJET,Good200,31-Jan-2025,06-Feb-2025,6,676.71,840.42,24.19,512.6,840.42,-24.25,BUY,8891.84
BLUESTARCO,Super45,26-Dec-2024,03-Jan-2025,7,1968.59,2376.29,20.71,1668.3,2376.29,-15.25,BUY,34299.02
BOSCH-HCIL,Good45,25-Sep-2024,03-Oct-2024,6,1957.68,2449.47,25.12,1382.8,2449.47,-29.37,BUY,21127.3
CAMS,Good200,25-Nov-2024,05-Dec-2024,9,874.48,1049.83,20.05,823.15,1049.83,-5.87,BUY,20430.97
CASTROLIND,Good200,03-Jul-2024,05-Jul-2024,3,194.08,235.1,21.14,185.8,235.1,-4.27,BUY,18377.89
CLEAN,Good200,21-May-2025,30-May-2025,8,1259.56,1590.61,26.28,782.15,1590.61,-37.9,BUY,8312.89
CYIENT,Good200,14-Aug-2024,21-Aug-2024,5,1623.59,1988.22,22.46,859.05,1988.22,-47.09,BUY,9490.34
DIXON,Super45,09-Apr-2025,22-Apr-2025,7,12749.33,16820.51,31.93,12517,16820.51,-1.82,BUY,76105.73
DOMS,Good200,15-Apr-2025,22-Apr-2025,5,2513.45,3060.88,21.78,2274.1,3060.88,-9.52,BUY,13801.13
DYCL,Good45,13-Dec-2024,17-Dec-2024,3,445.26,547.2,22.9,366.75,547.2,-17.63,BUY,1777.22
DYCL,Good45,18-Nov-2024,21-Nov-2024,3,356.18,469.25,31.74,366.75,469.25,2.97,NEAR BUY,1777.22
DYCL,Good45,19-Aug-2025,20-Aug-2025,2,389.1,480,23.36,366.75,480,-5.74,BUY,1777.22
ELECON,Good200,02-May-2025,13-May-2025,8,539.3,673.64,24.91,539.05,673.64,-0.05,BUY,12096.28
ELECON,Good200,18-Jul-2024,18-Jul-2024,1,542.25,654.45,20.69,539.05,654.45,-0.59,BUY,12096.28
