Near BUY,as on,01.07.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Stock,Current Price,Target,% Down from BUY,Strategy,List Name,Market Cap (Cr)
ICICIPRULI,492.95,634.47,1,SMA,Super 45,71465.55
COLPAL,2071.9,2625.57,2.59,SMA,Super 45,56352.7
HINDUNILVR,2182,2807.43,1.04,SMA,Super 45,512680.84
ITC,290.3,373.43,1.06,SMA,Super 45,363730.46
WHIRLPOOL,807.25,1033.76,1.52,SMA,Super 45,10245.65
HAVELLS,1188.8,1518.93,1.75,SMA,Super 45,74568.3
NIFTYBEES,272.87,350.62,1.17,SMA,Super 45,
ULTRACEMCO,11456,14600.11,2,SMA,Super 45,337000.74
RELIANCE,1308,1692.39,0.47,SMA,Super 45,1770047.46
BRITANNIA,5262,6725.39,1.71,SMA,Super 45,126744.89
BLUEDART,4893.8,6284.65,1.23,SMA,Super 45,11611.98
HAVELLS,1188.8,1546.98,1.87,ENVELOP,Super 45,74568.3
SANOFI,3460.4,4540.6,1.02,ENVELOP,Super 45,7969.52
HDFCBANK,796.15,944.65,9.56,52 Weeks Low,Super 45,1226168.18
ICICIGI,1757.6,2097.81,8.92,52 Weeks Low,Super 45,87752.07
ICICIPRULI,492.95,597.35,7.28,52 Weeks Low,Super 45,71465.55
HINDUNILVR,2182,2629.25,7.89,52 Weeks Low,Super 45,512680.84
ITC,290.3,357.56,5.54,52 Weeks Low,Super 45,363730.46
WHIRLPOOL,807.25,983.9,6.66,52 Weeks Low,Super 45,10245.65
HAVELLS,1188.8,1460.68,5.8,52 Weeks Low,Super 45,74568.3
GILLETTE,7649.5,9367.8,6.15,52 Weeks Low,Super 45,24926.06
AMBUJACEM,418.85,512.2,6.31,52 Weeks Low,Super 45,104076.57
KAYNES,3152.1,3893.5,5.25,52 Weeks Low,Super 45,21129.99
BLUEDART,4893.8,6017.05,5.73,52 Weeks Low,Super 45,11611.98
ASTRAZEN,8176.5,9998.82,4.92,Super strategy,Good45,20441.25
AVANTIFEED,945.1,1139.9,0.2,Super strategy,Good45,12876.57
BAJAJHLDNG,10719,12984.9,0.11,Super strategy,Super45,119295.52
BIKAJI,648.1,765.04,1.82,Super strategy,Good200,16250.23
BLS,245.85,305.75,1.17,Super strategy,Good200,10117.27
BLUESTARCO,1606.4,1921,1.57,Super strategy,Super45,33026.4
DYCL,364.7,469.25,2.39,Super strategy,Good45,1767.29
ELECON,549.95,673.64,1.97,Super strategy,Good200,12340.87
ELECON,549.95,654.45,1.42,Super strategy,Good200,12340.87
FLUOROCHEM,3930.9,4721.27,0.18,Super strategy,Good45,43180.94
FORCEMOT,18323,25050,1.06,Super strategy,Good200,24142.86
GANESHHOU,774.7,1005.15,0.09,Super strategy,Good200,6460
GUJGASLTD,329.9,387.9,3.69,Super strategy,Good200,30952.24
GULFOILLUB,1040,1291.75,3.13,Super strategy,Good200,5149.74
INDIGOPNTS,1022.9,1345.9,1.68,Super strategy,Good45,4876.74
JINDRILL,550.15,686.15,3.55,Super strategy,Good200,1594.4
NEWGEN,473.7,637.5,3.28,Super strategy,Good200,6686.73
PFIZER,4473.6,5692.32,4.5,Super strategy,Super45,20465.71
SYNGENE,431.55,517.09,0.67,Super strategy,Super45,17341.88
TASTYBITE,8989,10737.11,1.61,Super strategy,Good45,2306.58
TRITURBINE,677.35,812.3,4.55,Super strategy,Good200,21532.61
TRITURBINE,677.35,832.61,0.97,Super strategy,Good200,21532.61
CELLO,365.05,676.5,7.92,67 ka Funda,Good 200,8063.41
CYIENT,860.9,1622.91,6.09,67 ka Funda,Good 200,9512.12
GPIL,254.6,504.9,0.85,67 ka Funda,NSE 500,16564.21
XCHANGING,60.75,116.49,4.3,67 ka Funda,NSE 500,676.78
ORIENTCEM,133.93,250.14,7.08,67 ka Funda,NSE 500,2751.72
KALAMANDIR,105.85,205.92,2.81,67 ka Funda,NSE 500,1559.7
IKIO,152.45,293.63,3.84,67 ka Funda,NSE 500,1178.14
SYSTMTXC,64.48,117.41,9.83,67 ka Funda,NSE 500,881.74
COHANCE,451.15,897.6,0.52,67 ka Funda,NSE 500,17276
PRINCEPIPE,276.9,512.16,8.13,67 ka Funda,NSE 500,3062.02
DEEPAKNTR,1548.8,1873.3,3.35,CUP Pattern,Good 45,21124.55
HEROMOTOCO,4834.9,5835.33,3.57,CUP Pattern,Good 45,96742.93
ECLERX,1332.4,1948.26,1.29,S&R,Good 200,12261.45
ESCORTS,2945.3,4183.95,3.68,S&R,Good 200,32406.37
GILLETTE,7649.5,10528.33,1.86,S&R,Super 45,24926.06
MAHSEAMLES,596.1,817.85,4.79,S&R,Good 200,7987.69
MPHASIS,2126.8,3047.01,2.67,S&R,Good 200,40582.97
PERSISTENT,4330.2,6520.95,0.68,S&R,Good 200,67651.17
SHARDACROP,884.95,1215.4,2.34,S&R,Good 200,7984.06
SUPREMEIND,3221.2,4670.16,1.77,S&R,Good 45,40935.59
